,flash_id,lat,lon,flash_radiance,flash_time_loc,no2_delta_time,no2_val,qa_val
43939,617.0,50.47913,-102.57912,,,2022-07-16 17:35:52 -0400,5.1011875e-06,74.0
45163,617.0,49.525646,-100.72245,,,2022-07-16 17:35:56 -0400,4.450386e-06,74.0
45164,617.0,49.535896,-100.8124,,,2022-07-16 17:35:56 -0400,4.7349035e-06,74.0
45165,617.0,49.546093,-100.90264,,,2022-07-16 17:35:56 -0400,5.042551e-06,74.0
45166,617.0,49.556232,-100.993164,,,2022-07-16 17:35:56 -0400,4.905123e-06,74.0
45167,617.0,49.56632,-101.084015,,,2022-07-16 17:35:56 -0400,4.523524e-06,74.0
45168,617.0,49.57635,-101.175224,,,2022-07-16 17:35:56 -0400,4.743382e-06,74.0
45169,617.0,49.586334,-101.26668,,,2022-07-16 17:35:56 -0400,5.472029e-06,74.0
45170,617.0,49.59626,-101.35845,,,2022-07-16 17:35:56 -0400,5.212695e-06,74.0
45171,617.0,49.606136,-101.45063,,,2022-07-16 17:35:56 -0400,4.780943e-06,74.0
45172,617.0,49.615963,-101.54308,,,2022-07-16 17:35:56 -0400,4.4103945e-06,74.0
45173,617.0,49.625736,-101.63584,,,2022-07-16 17:35:56 -0400,4.840539e-06,74.0
45174,617.0,49.63546,-101.72899,,,2022-07-16 17:35:56 -0400,4.741427e-06,74.0
45175,617.0,49.645138,-101.82239,,,2022-07-16 17:35:56 -0400,4.5685993e-06,74.0
45176,617.0,49.654762,-101.9162,,,2022-07-16 17:35:56 -0400,4.9934915e-06,74.0
45177,617.0,49.66434,-102.01032,,,2022-07-16 17:35:56 -0400,5.032198e-06,74.0
45178,617.0,49.67387,-102.10478,,,2022-07-16 17:35:56 -0400,4.82688e-06,74.0
45179,617.0,49.68335,-102.19954,,,2022-07-16 17:35:56 -0400,4.6178284e-06,74.0
45180,617.0,49.692783,-102.294586,,,2022-07-16 17:35:56 -0400,4.991267e-06,74.0
45181,617.0,49.70217,-102.38995,,,2022-07-16 17:35:56 -0400,4.833229e-06,74.0
45182,617.0,49.711514,-102.485886,,,2022-07-16 17:35:56 -0400,5.2787072e-06,74.0
45183,617.0,49.72081,-102.582,,,2022-07-16 17:35:56 -0400,4.892942e-06,74.0
47651,617.0,50.925915,-100.71791,,,2022-07-16 17:36:04 -0400,4.3685895e-06,74.0
47652,617.0,50.931507,-100.80836,,,2022-07-16 17:36:04 -0400,4.4645626e-06,74.0
47653,617.0,50.937054,-100.89914,,,2022-07-16 17:36:04 -0400,5.231617e-06,74.0
47654,617.0,50.942562,-100.99028,,,2022-07-16 17:36:04 -0400,5.0034964e-06,74.0
