flash_lat,flash_lon,flash_radiance,flash_time_loc,srno
51.0507926940918,-104.76304626464844,13620.0,2022-07-16 05:07:26 -0400,630
51.144081115722656,-104.69389343261719,335410.0,2022-07-16 05:07:29 -0400,631
51.175933837890625,-104.81195068359375,145902.0,2022-07-16 05:07:31 -0400,632
51.129493713378906,-104.60794067382812,345482.0,2022-07-16 05:07:37 -0400,633
51.12114334106445,-104.65719604492188,638645.0,2022-07-16 05:07:41 -0400,634
51.21772766113281,-104.81587982177734,89231.0,2022-07-16 05:07:42 -0400,635
51.17550277709961,-104.58323669433594,4158.0,2022-07-16 05:07:44 -0400,636
51.13471221923828,-104.724853515625,231985.0,2022-07-16 05:07:46 -0400,637
51.13962173461914,-104.67111206054688,298299.0,2022-07-16 05:07:49 -0400,638
51.21259307861328,-104.95362091064453,9631.0,2022-07-16 05:07:50 -0400,639
51.154293060302734,-104.60786437988281,46645.0,2022-07-16 05:07:53 -0400,640
51.155723571777344,-104.78630065917969,664441.0,2022-07-16 05:07:54 -0400,641
51.20631790161133,-104.45133209228516,825086.0,2022-07-16 05:07:56 -0400,642
51.14976119995117,-104.65864562988281,94484.0,2022-07-16 05:07:57 -0400,643
51.213253021240234,-104.79995727539062,205022.0,2022-07-16 05:07:58 -0400,644
51.20492935180664,-104.57926940917969,642045.0,2022-07-16 05:07:59 -0400,645
51.202728271484375,-104.72229766845703,208795.0,2022-07-16 05:08:01 -0400,646
51.118927001953125,-104.64130401611328,148926.0,2022-07-16 05:08:02 -0400,647
51.14548873901367,-104.66584014892578,139802.0,2022-07-16 05:08:07 -0400,648
51.26469039916992,-104.81344604492188,80206.0,2022-07-16 05:08:07 -0400,649
51.14801788330078,-104.65293884277344,59936.0,2022-07-16 05:08:12 -0400,650
51.16680145263672,-104.9782943725586,4274.0,2022-07-16 05:08:12 -0400,651
51.14731216430664,-104.64726257324219,35012.0,2022-07-16 05:08:15 -0400,652
51.176876068115234,-104.7129898071289,33354.0,2022-07-16 05:08:19 -0400,653
51.190460205078125,-104.46197509765625,969073.0,2022-07-16 05:08:19 -0400,654
51.186927795410156,-104.8570785522461,53173.0,2022-07-16 05:08:19 -0400,655
51.10961151123047,-104.67633819580078,59969.0,2022-07-16 05:08:21 -0400,656
51.14017105102539,-104.67142486572266,11453.0,2022-07-16 05:08:25 -0400,657
51.17306900024414,-104.62640380859375,144018.0,2022-07-16 05:08:27 -0400,658
51.19638442993164,-104.81620788574219,39230.0,2022-07-16 05:08:29 -0400,659
51.17070388793945,-104.67451477050781,27130.0,2022-07-16 05:08:33 -0400,660
51.1373405456543,-104.69778442382812,22624.0,2022-07-16 05:08:33 -0400,661
51.13948440551758,-104.66911315917969,22728.0,2022-07-16 05:08:35 -0400,662
51.15192413330078,-104.69450378417969,4340.0,2022-07-16 05:08:39 -0400,663
51.135581970214844,-104.7739486694336,16423.0,2022-07-16 05:08:39 -0400,664
51.127830505371094,-104.64324951171875,31136.0,2022-07-16 05:08:41 -0400,665
51.037750244140625,-104.51700592041016,70131.0,2022-07-16 05:08:41 -0400,666
51.10959243774414,-104.59041595458984,120964.0,2022-07-16 05:08:44 -0400,667
51.20768356323242,-104.26958465576172,178280.0,2022-07-16 05:08:44 -0400,668
51.14651870727539,-104.79914093017578,9285.0,2022-07-16 05:09:08 -0400,669
51.0142936706543,-104.04426574707031,670539.0,2022-07-16 05:07:36 -0400,670
51.03797149658203,-104.07603454589844,4158.0,2022-07-16 05:07:39 -0400,671
50.99525451660156,-104.22506713867188,992739.0,2022-07-16 05:07:44 -0400,672
50.99462890625,-103.87519073486328,251049.0,2022-07-16 05:07:47 -0400,673
51.01057434082031,-104.06156921386719,1043416.0,2022-07-16 05:07:54 -0400,674
50.941402435302734,-103.76067352294922,722148.0,2022-07-16 05:07:59 -0400,675
50.99721908569336,-104.16596221923828,267581.0,2022-07-16 05:08:00 -0400,676
50.988555908203125,-104.05109405517578,102256.0,2022-07-16 05:08:08 -0400,677
51.03373336791992,-104.10427856445312,1423152.0,2022-07-16 05:08:11 -0400,678
50.947139739990234,-104.12831115722656,37279.0,2022-07-16 05:08:12 -0400,679
51.00560760498047,-104.2344741821289,71400.0,2022-07-16 05:08:14 -0400,680
51.00148391723633,-104.0561294555664,138852.0,2022-07-16 05:08:26 -0400,681
50.981929779052734,-103.84075164794922,805742.0,2022-07-16 05:08:29 -0400,682
51.06084442138672,-104.07295227050781,921536.0,2022-07-16 05:08:33 -0400,683
51.011871337890625,-104.18040466308594,34040.0,2022-07-16 05:08:34 -0400,684
50.996456146240234,-104.19075012207031,306757.0,2022-07-16 05:08:35 -0400,685
51.007015228271484,-104.0849380493164,46022.0,2022-07-16 05:08:41 -0400,686
50.95193862915039,-103.5921401977539,25733.0,2022-07-16 05:09:13 -0400,687
50.9503173828125,-103.48725128173828,7206.0,2022-07-16 05:09:13 -0400,688
51.07695388793945,-103.4052734375,12861.0,2022-07-16 05:09:13 -0400,689
50.122154235839844,-102.69852447509766,179119.0,2022-07-16 05:07:40 -0400,690
50.0404052734375,-102.63103485107422,278447.0,2022-07-16 05:07:40 -0400,691
50.102291107177734,-102.50145721435547,616974.0,2022-07-16 05:07:42 -0400,692
50.1650390625,-102.5548095703125,35494.0,2022-07-16 05:07:43 -0400,693
50.028629302978516,-102.72864532470703,290094.0,2022-07-16 05:07:44 -0400,694
50.068572998046875,-102.46629333496094,1856503.0,2022-07-16 05:07:45 -0400,695
50.19198989868164,-102.56965637207031,361660.0,2022-07-16 05:07:46 -0400,696
